OrderID,UserID,BusinessID,Address,amount,OrderDate
lWa1WtbqCfn7,00000002,00000001,room9                                                                                               ,18,2021-12-16
Mbev3lrYRZ7I,00000001,00000002,street                                                                                              ,38,2021-12-16
mPNuLlLFJzl5,00000004,00000001,street                                                                                              ,36,2021-12-16
MUjXA7Xj5TIC,00000004,00000007,三里屯                                                                                              ,19,2021-12-23
MuWUP0XQBoco,00000004,00000001,street                                                                                              ,36,2021-12-16
MxqW0qfVer98,00000004,00000004,street                                                                                              ,38,2021-12-16
n4uyKqOU734L,00000004,00000009,湖北省大冰川                                                                                        ,14,2021-12-29
n5vebn2Ey43n,00000004,00000002,stt                                                                                                 ,20,2021-12-16
NBF67Zi30wEu,00000006,00000009,广西省水帘洞大的菠萝                                                                                ,7,2021-12-30
nbIBBJjJhDC7,00000003,00000008,湖北省品园市一楼                                                                                    ,26,2021-12-29
ngcjYwGsMhof,00000004,00000003,street                                                                                              ,51,2021-12-16
NJ98xrg7MfNo,00000004,00000001,street                                                                                              ,36,2021-12-16
nWhj55J1jmvQ,00000004,00000004,street                                                                                              ,19,2021-12-16
ObNVN9qz93W8,00000004,00000001,中关村大街                                                                                          ,68,2021-12-29
OFKelT9bEwki,00000004,00000004,人民大学5959                                                                                        ,19,2021-12-16
OipRxSLk7rBV,00000002,00000002,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,64,2021-12-29
oUOwpKrIDEYh,00000004,00000003,street                                                                                              ,51,2021-12-16
PKcct8li9Ku6,00000007,00000010,湖北省大锅盖市                                                                                      ,216,2021-12-30
PNNojympgngM,00000006,00000010,广西省水帘洞大的菠萝                                                                                ,90,2021-12-30
pX9p33mcB26X,00000001,00000003,吉林省橘子屯                                                                                        ,34,2021-12-29
PZ5XNPjzprTH,00000002,00000005,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,3,2021-12-29
qaL8nIVUg35H,00000001,00000002,street                                                                                              ,19,2021-12-16
QapQo9IMTUoJ,00000004,00000001,三里屯                                                                                              ,78,2021-12-23
qDpbBMhDNd0f,00000002,00000003,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,17,2021-12-29
QJOQnxOJqPRG,00000004,00000002,三里屯                                                                                              ,30,2021-12-21
qpMPoFl8D0At,00000002,00000001,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,18,2021-12-29
QTfV39FPF8A2,00000002,00000012,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,3,2021-12-29
QtJDGROk6hEx,00000002,00000005,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,3,2021-12-29
RH2YR207cGyg,00000001,00000002,,19,2021-12-16
rIvxOrQbGB7C,00000005,00000001,明德楼                                                                                              ,270,2021-12-27
rpkWxBpfvVjg,00000001,00000001,吉林省橘子屯                                                                                        ,216,2021-12-29
S5QHjjCCuRvo,00000007,00000010,湖北省大锅盖市                                                                                      ,39.799999,2021-12-30
skqLs4dhJtHJ,00000004,00000001,湖北省大冰川                                                                                        ,110,2021-12-29
sR0soUTsllF0,00000003,00000001,湖北省品园市一楼                                                                                    ,11,2021-12-29
sS5XP10LHtVN,00000007,00000011,湖北省大锅盖市                                                                                      ,32,2021-12-30
syE9CKhat2cH,00000002,00000005,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,3,2021-12-29
T1AdKZgoapPC,00000004,00000002,湖北省大冰川                                                                                        ,30,2021-12-29
teKi5Ath0gEX,00000004,00000010,湖北省大冰川                                                                                        ,90,2021-12-29
tfNuC0xEmsuE,00000004,00000003,                                                                                                    ,561,2021-12-16
TLLte4aX6XVi,00000004,00000001,room9                                                                                               ,36,2021-12-16
TQJJBhT5AAFV,00000004,00000010,湖北省大冰川                                                                                        ,34,2021-12-29
uBgX8D6PN4qS,00000004,00000004,street                                                                                              ,38,2021-12-16
UkFMLngPzsMO,00000004,00000003,湖北省大冰川                                                                                        ,85,2021-12-29
uptBuRFMp8fy,00000004,00000004,中关村大街59号                                                                                      ,19,2021-12-30
UV75UWoArQff,00000007,00000009,湖北省大锅盖市                                                                                      ,4,2021-12-30
v1XFbAh791EV,00000001,00000005,吉林省橘子屯                                                                                        ,6,2021-12-29
VcoVLtyXrJxs,00000006,00000003,广西省水帘洞大的菠萝                                                                                ,18,2021-12-30
viAHInQni4Iy,00000004,00000002,中关村大街59号                                                                                      ,19,2021-12-21
vlOGgzdWgofP,00000001,00000002,吉林省橘子屯                                                                                        ,19,2021-12-29
VZiMUDKFczxU,00000004,00000003,湖北省大冰川                                                                                        ,51,2021-12-29
wcnyMm9VgRfD,00000004,00000009,中关村大街59号                                                                                      ,2,2021-12-30
WmUOWCE6tyS1,00000001,00000011,吉林省橘子屯                                                                                        ,15,2021-12-29
WT0YJLB0pA8d,00000004,00000004,street                                                                                              ,38,2021-12-16
WTqTxtK3JN21,00000003,00000002,湖北省品园市一楼                                                                                    ,75,2021-12-29
WZQ4nU6OOhqV,00000001,00000001,品六                                                                                                ,90,2021-12-27
x446L2iD5CW2,00000004,00000004,人民大学                                                                                            ,19,2021-12-16
Xe85UP2SJfAy,00000001,00000001,吉林省橘子屯                                                                                        ,180,2021-12-29
XEuqqJCti7Kv,00000004,00000004,street                                                                                              ,38,2021-12-16
xMaeivi2N2mU,00000004,00000003,湖北省大冰川                                                                                        ,20,2021-12-29
xWqgegm5Ajcx,00000004,00000002,street                                                                                              ,20,2021-12-16
Y0aHteMb3C6c,00000002,00000001,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,126,2021-12-29
YBBWtSk4cuaW,00000004,00000001,                                                                                                    ,20,2021-12-29
YKxTCDyz782S,00000001,00000001,street                                                                                              ,18,
ySFpWOntetg7,00000004,00000004,street                                                                                              ,38,2021-12-16
YYbiLaFEoK3A,00000005,00000001,明德楼                                                                                              ,72,2021-12-27
z1eVlztPu02G,00000003,00000001,湖北省品园市一楼                                                                                    ,240,2021-12-29
zcIafoTectQw,00000002,00000012,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,3,2021-12-29
zDsb6tk1uPmx,00000001,00000001,street                                                                                              ,18,2021-12-16
Zi2Bndgz6U25,00000003,00000006,湖北省品园市一楼                                                                                    ,13,2021-12-29
zOjMw7o8QqcH,00000002,00000003,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,102,2021-12-29
zSjQxM0gcl3t,00000002,00000002,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,40,2021-12-29
